,예상중량,제품명
2022-03-22,0.0,PEMA-CSA5000
2022-03-29,0.0,PEMA-CSA5000
2022-01-11,0.0,PEMA-HR1500
2022-01-18,79243.90114213635,PEMA-HR1500
2022-01-25,124950.02204035525,PEMA-HR1500
2022-02-01,43591.44881219858,PEMA-HR1500
2022-02-08,267085.5669314162,PEMA-HR1500
2022-02-15,104096.93822152939,PEMA-HR1500
2022-02-22,87172.72086861632,PEMA-HR1500
2022-03-01,110857.6129998631,PEMA-HR1500
2022-03-08,74582.46209314797,PEMA-HR1500
2022-03-15,186297.8973273162,PEMA-HR1500
2022-03-22,213004.62031767957,PEMA-HR1500
2022-03-29,212357.35931854788,PEMA-HR1500
2022-01-11,0.0,PEMA-SN400
2022-01-18,6376.473702302292,PEMA-SN400
2022-01-25,636.7594986599779,PEMA-SN400
2022-02-01,0.0,PEMA-SN400
2022-02-08,56166.204272657335,PEMA-SN400
2022-02-15,15233.743393247263,PEMA-SN400
2022-02-22,33898.94034639343,PEMA-SN400
2022-03-01,11083.442411788448,PEMA-SN400
2022-03-08,25977.101856678335,PEMA-SN400
2022-03-15,1890.923555354515,PEMA-SN400
2022-03-22,3602.1796061400746,PEMA-SN400
2022-03-29,41364.94494331893,PEMA-SN400
2022-01-11,5073.319593325819,PEMA-SR2000A
2022-01-18,21891.76348927102,PEMA-SR2000A
2022-01-25,16374.289366798504,PEMA-SR2000A
2022-02-01,3199.2439874408656,PEMA-SR2000A
2022-02-08,22982.794765946514,PEMA-SR2000A
2022-02-15,4707.435875822859,PEMA-SR2000A
2022-02-22,15742.243957024826,PEMA-SR2000A
2022-03-01,14388.740835492747,PEMA-SR2000A
2022-03-08,21951.385692699598,PEMA-SR2000A
2022-03-15,20643.076128920886,PEMA-SR2000A
2022-03-22,4826.202201637381,PEMA-SR2000A
2022-03-29,12173.621159824874,PEMA-SR2000A
2022-01-11,10726.566489150551,AE
2022-01-18,20433.221698650283,AE
2022-01-25,13312.313060326302,AE
2022-02-01,11287.090865777232,AE
2022-02-08,3011.5611759880167,AE
2022-02-15,8485.76098261187,AE
2022-02-22,706.4480828359831,AE
2022-03-01,20262.667814011547,AE
2022-03-08,32613.945109844542,AE
2022-03-15,12837.162870839842,AE
2022-03-22,18492.01056467482,AE
2022-03-29,6286.813043366195,AE
2022-01-11,6845.663705954574,PEMA-PCM2000
2022-01-18,11855.065473431474,PEMA-PCM2000
2022-01-25,19295.71832936693,PEMA-PCM2000
2022-02-01,8416.30136175846,PEMA-PCM2000
2022-02-08,27896.039828155957,PEMA-PCM2000
2022-02-15,22919.694699974538,PEMA-PCM2000
2022-02-22,1727.5219391710643,PEMA-PCM2000
2022-03-01,33466.79717139008,PEMA-PCM2000
2022-03-08,19233.759904796923,PEMA-PCM2000
2022-03-15,18807.218067345606,PEMA-PCM2000
2022-03-22,4491.695370376541,PEMA-PCM2000
2022-03-29,20608.908576241014,PEMA-PCM2000
2022-01-11,0.0,PEMA-PR2000
2022-01-18,51892.38711664664,PEMA-PR2000
2022-01-25,0.0,PEMA-PR2000
2022-02-01,28741.918406860437,PEMA-PR2000
2022-02-08,71078.57458668551,PEMA-PR2000
2022-02-15,0.0,PEMA-PR2000
2022-02-22,23519.988112787152,PEMA-PR2000
2022-03-01,42850.95324967532,PEMA-PR2000
2022-03-08,60788.0276000298,PEMA-PR2000
2022-03-15,24704.48533922014,PEMA-PR2000
2022-03-22,37040.765856937134,PEMA-PR2000
2022-03-29,20867.365529764695,PEMA-PR2000
2022-01-11,1018.6875256319254,SRE-110
2022-01-18,0.0,SRE-110
2022-01-25,0.0,SRE-110
2022-02-01,0.0,SRE-110
2022-02-08,0.0,SRE-110
2022-02-15,0.0,SRE-110
2022-02-22,0.0,SRE-110
2022-03-01,26929.499098972665,SRE-110
2022-03-08,0.0,SRE-110
2022-03-15,0.0,SRE-110
2022-03-22,0.0,SRE-110
2022-03-29,0.0,SRE-110
2022-01-11,1013.8710068119126,PEMA-PCM2000B
2022-01-18,11621.174029459047,PEMA-PCM2000B
2022-01-25,7999.190100992006,PEMA-PCM2000B
2022-02-01,3743.9537234211607,PEMA-PCM2000B
2022-02-08,7890.537421908388,PEMA-PCM2000B
2022-02-15,8061.051429080664,PEMA-PCM2000B
2022-02-22,2839.7539587785836,PEMA-PCM2000B
2022-03-01,8914.330891450325,PEMA-PCM2000B
2022-03-08,11729.02026201096,PEMA-PCM2000B
2022-03-15,12314.361915209212,PEMA-PCM2000B
2022-03-22,3839.5218509474594,PEMA-PCM2000B
2022-03-29,4109.598650235986,PEMA-PCM2000B
2022-01-11,12184.683190695398,PR1000
2022-01-18,6050.189547025819,PR1000
2022-01-25,24734.937271194096,PR1000
2022-02-01,5515.916336792841,PR1000
2022-02-08,0.0,PR1000
2022-02-15,3380.4024215971313,PR1000
2022-02-22,0.0,PR1000
2022-03-01,15105.417702228391,PR1000
2022-03-08,0.0,PR1000
2022-03-15,21017.94233756935,PR1000
2022-03-22,0.0,PR1000
2022-03-29,63.44152229702195,PR1000
2022-01-11,0.0,PEMA-PCR3000E
2022-01-18,1013.5610018479335,PEMA-PCR3000E
2022-01-25,3070.9649247452207,PEMA-PCR3000E
2022-02-01,1003.3693680839076,PEMA-PCR3000E
2022-02-08,4846.224325925394,PEMA-PCR3000E
2022-02-15,931.7537449366853,PEMA-PCR3000E
2022-02-22,4020.7701152305253,PEMA-PCR3000E
2022-03-01,862.8480689231242,PEMA-PCR3000E
2022-03-08,5090.4981966412815,PEMA-PCR3000E
2022-03-15,6600.313725330141,PEMA-PCR3000E
2022-03-22,4744.951901705335,PEMA-PCR3000E
2022-03-29,743.7998125499712,PEMA-PCR3000E
2022-01-11,0.0,PEMA-SR5000F
2022-01-18,1284.4930934834922,PEMA-SR5000F
2022-01-25,8911.81779212808,PEMA-SR5000F
2022-02-01,1458.3160933509844,PEMA-SR5000F
2022-02-08,3458.4974293807327,PEMA-SR5000F
2022-02-15,2714.9861306054345,PEMA-SR5000F
2022-02-22,0.0,PEMA-SR5000F
2022-03-01,984.7067448462681,PEMA-SR5000F
2022-03-08,0.0,PEMA-SR5000F
2022-03-15,9876.813707985391,PEMA-SR5000F
2022-03-22,0.0,PEMA-SR5000F
2022-03-29,6451.17364378747,PEMA-SR5000F
2022-01-11,0.0,PEMA-PCR3000N
2022-01-18,596.1948796247457,PEMA-PCR3000N
2022-01-25,3140.2868904031047,PEMA-PCR3000N
