"제품코드","product_cnt","제품명","약식품번(제품번호와같이키값으로사용)"
PEMA033074100,4,PEMA-580FX파워텍(음성),806762
PEMA013082500,4,PEMA-HR1000현대(안성),804255
PEMA003039101,4,CSA5000석진(음성),804589
PEMA053031200,4,PEMA-HR1500산양(진해),805425
PEMA013041301,4,PEMA-HR1500성원(단양),775164
PEMA023125200,4,PEMA-HR1500세진(부산),808023
PEMA043099300,4,CSA5000대왕(안성),807857
PEMA013048900,4,PEMA-HR1000아성(남원),805751
PEMA013116420,4,PEMA-SR2000해양개발(울산),808422
PEMA063048100,4,PEMA-HR1500구암(담양),774840
PEMA013043200,4,PEMA-HR1000세진(광주),766225
PEMA013123000,4,PEMA-SR2000신공항(인천),807806
PEMA013010900,4,PEMA-HR1000내포(홍성),765708
PEMA043110500,4,PEMA-SR2000신아(울산),807387
PEMA023100800,4,PEMA-HR1000대종(경주),805105
PEMA013126200,4,PEMA-580FX케이알(음성),808112
PEMA023035314,4,CSA5000삼표(남부),808124
PEMA013082100,4,PEMA-HR1500대원씨앤엠(울산),804749
PEMA033006900,4,PEMA-HR1500대상(의령),781003
PEMA023035303,4,PEMA-SR3000F삼표(성수),768491
PEMA043080115,4,PEMA-SR2000한일(대구),808640
PEMA013125500,4,PEMA-HR1000명진(논산),808031
PEMA013128700,4,CSA5000 은성(천안),808458
PEMA043042900,4,CSA5000세종(여주),806887
PEMA053041502,4,PEMA-SR2000성진(화성),808158
PEMA033109400,4,PEMA-SR3000F보광(대구),808592
PEMA023027100,3,PEMA-SR3000F미래(나주),807577
PEMA023052200,3,PEMA-CSA5000영남(포항),805080
PEMA013023005,3,PEMA-HR1000동양(안양),804819
PEMA013103100,3,PEMA-HR1000부청(안동),805315
PEMA033072700,3,PEMA-SR2000태양(대구),782823
PEMA03087900,3,PEMA-SR2000윤성(하빈),805419
PEMA023126700,3,PEMA-HR1500일반용합천(합천),808281
PEMA053114500,3,PEMA-PCM2000우리도시(안성),808725
PEMA033028900,3,PEMA-HR1000보광(장동),808842
PEMA023083500,3,PEMA-HR1000현림(평창),804871
PEMA373048200,3,PEMA-SR2000우현(포항),782743
PEMA013130300,3,CSA5000선우(서산),808699
PEMA213048300,3,PEMA-HR1000서우(서산),766049
PEMA023024000,3,CSA5000동원(옥천),808766
PEMA013111900,3,PEMA-HR1500성보(김해),806132
PEMA023077800,3,PEMA-HR1000한덕(천안),806974
PEMA013028200,3,PEMA-HR1500바나(여수),775041
PEMA313001100,3,PEMA-HR1500우성(강릉),808250
PEMA013118900,3,PEMA-580FX유니캠(화성),807077
PEMA013052401,3,PEMA-HR1000영산(광주),805158
PEMA023091600,3,CSA5000태성(계룡),808238
PEMA013070800,3,CSA5000청주금성,773960
PEMA043023200,3,PEMA-HR1000동양(광주),806008
PEMA013114400,3,PEMA-HR1000한빛(부안),806519
PEMA013042200,3,PEMA-SR3000F삼우(경산),783391
PEMA033043200,3,PEMA-SR2000세진(광주),806499
PEMA043037801,3,PEMA-SR2000 서산(서산),808950
PEMA013026702,3,PEMA-HR1000모헨즈(천안),765839
PEMA013087700,3,PEMA-HR1000우성기업(진주),780051
PEMA033082100,3,PEMA-SR2000대원씨엔엠(울산),808153
PEMA053054200,3,CSA5000영화(경주),806565
PEMA013055600,3,PEMA-HR1000옥산(옥산),774516
PEMA013081906,3,PEMA-SR3000F현대(서울),808538
PEMA013068400,3,PEMA-HR1000진영(안양),766823
PEMA023106100,3,PEMA-SR3000F우림(하남),805633
PEMA013121910,3,PEMA-HR1000하주(동해),808337
PEMA043001100,3,PEMA-HR1000대신(동해),780238
SSA013048200,3,AE양지(경주),783990
PEMA103048200,3,CSA5000흥진(경주),780001
PEMA023054400,3,CSA5000 예일(예산),808957
PEMA023046501,3,PEMA-HR1000신일(아산),804208
PEMA023106900,3,CSA5000동원(세종),806142
PEMA043015600,3,CSA5000대양(양산)F/A,807290
PEMA033120700,3,CSA5000삼일(안성),808138
PEMA013023013,3,PEMA-HR1000 동양건재(대구),805837
PEMA013017200,3,PEMA-HR1000대원바텍(군산),804138
PEMA023076910,3,CSA5000경동(대구),808890
PEMA013108400,3,PEMA-HR1000우신(파주),805857
PEMA023032100,3,PEMA-HR1500삼보(함안),805422
PEMA023111400,3,PEMA-HR1000남부(화순),806030
